nodes,latitude,longitude,comment
HV_station,52.35485831974953,4.962799585456719,
residential_demand,52.35341738906135,4.938239732223677,
data_center_1,52.35622425460725,4.9528058727672075,
data_center_2,52.35540954359432,4.957418221192717,
data_center_3,52.354854326572166,4.961567344591847,
transmission_1,52.355192810424214,4.96218925994938,
transmission_2,52.35495878768718,4.9620005683920585,
transmission_3,52.35601531643623,4.960816910949304,
transmission_4,52.35709769343903,4.955935066343518,
transmission_5,52.352432949008,4.954424968102263,
transmission_6,52.35427416355453,4.951120961130681,
transmission_7,52.35024266722245,4.944395186710569,
