minute,load_kw
0,514.1883312000001
1,509.84135190000006
2,509.22035880000004
3,517.6038001500001
4,521.39187324
5,527.8502235600001
6,532.56979044
7,535.05377388
8,530.3342070000001
9,532.8181904400001
10,533.06659044
11,535.7989738800001
12,539.02814904
13,545.7348993600001
14,540.0217407600001
15,536.7925656
16,537.53775732
17,536.2957656000001
18,532.56979044
19,535.7989656000001
20,538.0345490400001
21,534.8053738800002
22,536.0473656
23,536.7925656000001
24,538.7797490400001
25,536.5441656
26,538.53134904
27,543.00251592
28,542.75411592
29,540.76693248
30,543.0025159200001
31,541.26373248
32,537.78615732
33,539.77334076
34,539.7733407600001
35,543.0025159200001
36,543.49930764
37,545.73489108
38,546.9768828
39,550.20605796
40,545.7348910800001
41,547.2252828000001
42,543.0025159200001
43,542.0089242
44,539.7733407600001
45,543.0025159200001
46,541.26373248
47,542.2573242000001
48,543.4993159200001
49,544.7413076400001
50,542.5057242
51,544.49290764
52,546.97689108
53,546.72849108
54,546.97689108
55,543.99611592
56,546.23169936
57,546.23169936
58,544.24451592
59,541.7605324799999
60,543.74771592
61,544.7413076400001
62,545.7348993600001
63,545.48649936
64,546.72849108
65,546.7284910800001
66,543.4993159200001
67,540.27014076
68,538.5313573200001
69,537.2893656
70,538.2829573199999
71,540.51854076
72,542.5057242
73,544.49290764
74,547.7220828000001
75,550.20606624
76,549.9576662400001
77,551.1996579600001
78,554.42883312
79,552.69004968
80,551.44805796
81,550.70286624
82,545.73489936
83,545.73489936
84,543.74770764
85,545.98329108
86,545.98329108
87,550.95125796
88,549.70926624
89,552.4416496800001
90,552.4416496800001
91,553.4352414
92,554.42883312
93,553.1868413999999
94,553.4352414
95,551.19965796
96,552.19324968
97,551.19965796
98,551.44805796
99,552.44164968
100,552.44164968
101,548.9640745199999
102,546.97689108
103,549.21247452
104,546.72849108
105,547.7220828000001
106,549.9576662400001
107,551.9448496800001
108,550.95125796
109,550.95125796
110,549.95766624
111,548.2188828000001
112,543.99611592
113,541.7605324799999
114,543.99611592
115,546.23169936
116,545.7348993600001
117,547.9704828
118,548.96407452
119,545.73489936
120,543.49931592
121,545.98329936
122,547.7220828
123,548.71567452
124,549.95766624
125,549.95766624
126,549.70926624
127,550.95125796
128,552.19324968
129,555.42242484
130,556.41601656
131,557.65800828
132,554.18043312
133,551.94484968
134,549.9576662400001
135,550.20606624
136,548.96407452
137,550.2060662399999
138,552.44164968
139,551.1996579600001
140,551.19965796
141,551.4480579599999
142,553.6836414
143,552.69004968
144,554.67723312
145,555.67082484
146,555.67082484
147,555.67082484
148,555.67082484
149,556.91281656
150,555.67082484
151,556.66441656
152,554.4288331199999
153,552.9384414
154,552.9384414
155,550.4544579599999
156,548.21887452
157,550.45445796
158,552.9384413999999
159,552.9384413999999
160,555.42242484
